bank,rank,term,score
Bank of Abyssinia,1,easy,0.08707800113510213
Bank of Abyssinia,2,app,0.07178255272299926
Bank of Abyssinia,3,great,0.06973867654397202
Bank of Abyssinia,4,use,0.06169093147007831
Bank of Abyssinia,5,good,0.05478220438167604
Bank of Abyssinia,6,easy use,0.04880389315992074
Bank of Abyssinia,7,love,0.04007150072803148
Bank of Abyssinia,8,excellent,0.034601702112125286
Bank of Abyssinia,9,bank,0.03260341282917605
Bank of Abyssinia,10,works,0.021672343668416437
Bank of Abyssinia,11,helpful,0.02158659417611682
Bank of Abyssinia,12,banking,0.020968464778416452
Bank of Abyssinia,13,like,0.020557859338011655
Bank of Abyssinia,14,awesome,0.01962134208726404
Bank of Abyssinia,15,navigate,0.018290892677866506
Bank of Abyssinia,16,best,0.016234253652060306
Bank of Abyssinia,17,great app,0.015662188307987865
Bank of Abyssinia,18,account,0.01487881085847368
Bank of Abyssinia,19,friendly,0.014533483646640212
Bank of Abyssinia,20,experience,0.014518729063558534
Bank of Abyssinia,21,easy navigate,0.014467366167181209
Bank of Abyssinia,22,fast,0.014455633709522945
Bank of Abyssinia,23,service,0.013898899940209654
Bank of Abyssinia,24,convenient,0.013685158197536072
Bank of Abyssinia,25,user,0.01311738457666861
Bank of Abyssinia,26,years,0.012892137185371697
Bank of Abyssinia,27,time,0.012626309641008363
Bank of Abyssinia,28,user friendly,0.012172558111538468
Bank of Abyssinia,29,america,0.011918131341305224
Bank of Abyssinia,30,bank america,0.011918131341305224
Commercial Bank of Ethiopia,1,good,0.1509575712777672
Commercial Bank of Ethiopia,2,app,0.09169041127361768
Commercial Bank of Ethiopia,3,best,0.051483667151729334
Commercial Bank of Ethiopia,4,nice,0.044619974080675404
Commercial Bank of Ethiopia,5,cbe,0.030750551829289863
Commercial Bank of Ethiopia,6,good app,0.030355637790696926
Commercial Bank of Ethiopia,7,bank,0.02519711108275708
Commercial Bank of Ethiopia,8,excellent,0.02413454417607429
Commercial Bank of Ethiopia,9,ok,0.018804441900169774
Commercial Bank of Ethiopia,10,like,0.018628732735245117
Commercial Bank of Ethiopia,11,application,0.018550337725819807
Commercial Bank of Ethiopia,12,update,0.014795857170258185
Commercial Bank of Ethiopia,13,nice app,0.013639193564346366
Commercial Bank of Ethiopia,14,best app,0.013443597807959014
Commercial Bank of Ethiopia,15,ነው,0.012490065976318339
Commercial Bank of Ethiopia,16,banking,0.012036963809491565
Commercial Bank of Ethiopia,17,great,0.011971816869934752
Commercial Bank of Ethiopia,18,service,0.011630648191611621
Commercial Bank of Ethiopia,19,use,0.011347072075255697
Commercial Bank of Ethiopia,20,bad,0.010936661904525349
Commercial Bank of Ethiopia,21,useful,0.0109101982265738
Commercial Bank of Ethiopia,22,work,0.01080947228411883
Commercial Bank of Ethiopia,23,apps,0.01074366420744128
Commercial Bank of Ethiopia,24,account,0.01016587655838036
Commercial Bank of Ethiopia,25,time,0.010104779519798483
Commercial Bank of Ethiopia,26,love,0.009835204404455154
Commercial Bank of Ethiopia,27,ethiopia,0.009412974354032287
Commercial Bank of Ethiopia,28,mobile,0.009222376697959328
Commercial Bank of Ethiopia,29,money,0.00904771157057182
Commercial Bank of Ethiopia,30,transaction,0.008844370675499428
Dashen Bank,1,app,0.09969081355799492
Dashen Bank,2,good,0.09026316542553493
Dashen Bank,3,best,0.04951005579953113
Dashen Bank,4,nice,0.0392085345557347
Dashen Bank,5,bank,0.03323777236375771
Dashen Bank,6,wow,0.031808452523628954
Dashen Bank,7,dashen,0.031795469710383634
Dashen Bank,8,super,0.02936267068560664
Dashen Bank,9,fast,0.025454450222669057
Dashen Bank,10,banking,0.024526088121021014
Dashen Bank,11,amazing,0.022370876220882758
Dashen Bank,12,easy,0.022354974379837456
Dashen Bank,13,use,0.019828247371868665
Dashen Bank,14,super app,0.019506181370216927
Dashen Bank,15,dashen bank,0.018427168531462666
Dashen Bank,16,application,0.018341290871656035
Dashen Bank,17,great,0.016951932122285834
Dashen Bank,18,slow,0.01681847130978701
Dashen Bank,19,excellent,0.016724284005870588
Dashen Bank,20,nice app,0.01604979769307964
Dashen Bank,21,ok,0.01603206412825651
Dashen Bank,22,best app,0.014424407128273304
Dashen Bank,23,user,0.013991373390550968
Dashen Bank,24,like,0.013197949439920599
Dashen Bank,25,working,0.01293521631439308
Dashen Bank,26,mobile,0.012849047782026718
Dashen Bank,27,time,0.012015361961110136
Dashen Bank,28,easy use,0.01185091630054375
Dashen Bank,29,friendly,0.011488419013944356
Dashen Bank,30,features,0.011471919166383257
