review,rating,date,bank,source
"consistent , It has never gone down",5,2025-11-30,Bank of Abyssinia,Google Play
My experience has been great!,5,2025-11-30,Bank of Abyssinia,Google Play
Just learning something new to me,5,2025-11-30,Bank of Abyssinia,Google Play
it is wonderful im very happy,5,2025-11-30,Bank of Abyssinia,Google Play
Personal banker experience,5,2025-11-30,Bank of Abyssinia,Google Play
The app is so helpful and easy to use,5,2025-11-30,Bank of Abyssinia,Google Play
Great Service,5,2025-11-30,Bank of Abyssinia,Google Play
Always good,5,2025-11-30,Bank of Abyssinia,Google Play
easy to operate,5,2025-11-30,Bank of Abyssinia,Google Play
great 👍🏻,5,2025-11-30,Bank of Abyssinia,Google Play
Great!!,5,2025-11-30,Bank of Abyssinia,Google Play
so far it's been good,4,2025-11-30,Bank of Abyssinia,Google Play
I had good help with getting my $$ back into my account. Your account folks helped me a lot. Michael Povlo Bank Customer in Las Vegas!,5,2025-11-30,Bank of Abyssinia,Google Play
app seems to work as expected lol,5,2025-11-30,Bank of Abyssinia,Google Play
love it. easy n fast,5,2025-11-30,Bank of Abyssinia,Google Play
amazing bank,5,2025-11-30,Bank of Abyssinia,Google Play
Never hardly issue with this app. Still a great app. 👍Still a user friendly app. No problems ... I just updated the app so don't know yet if there are problems. 11/2024. Marche 2025...still love this app. Nov 2025...convenience is great. No issues with the app.,5,2025-11-30,Bank of Abyssinia,Google Play
awesome,5,2025-11-30,Bank of Abyssinia,Google Play
it's okay for me,4,2025-11-30,Bank of Abyssinia,Google Play
Easy to use.,5,2025-11-30,Bank of Abyssinia,Google Play
very friendly people,5,2025-11-30,Bank of Abyssinia,Google Play
works flawless.,5,2025-11-30,Bank of Abyssinia,Google Play
Very easy to use and transfer money,5,2025-11-30,Bank of Abyssinia,Google Play
easy to navigate the app,4,2025-11-30,Bank of Abyssinia,Google Play
I've seen other Bank apps and BOA has the best one period.,5,2025-11-30,Bank of Abyssinia,Google Play
"Deposits are easy to make on this app. They're much easier than another bank if I have. I like having all of my accounts available. They say they have my statements available but they don't. They are only on the website Recently has a bug, shuts down often.",4,2025-11-30,Bank of Abyssinia,Google Play
Easy to operate and safe to use,5,2025-11-30,Bank of Abyssinia,Google Play
"easy to use, stable",5,2025-11-30,Bank of Abyssinia,Google Play
quick easy deposits,5,2025-11-30,Bank of Abyssinia,Google Play
"Solid app. I cannot use the updated version, for whatever reason.",4,2025-11-30,Bank of Abyssinia,Google Play
great great app,5,2025-11-30,Bank of Abyssinia,Google Play
Easy to use app…,5,2025-11-30,Bank of Abyssinia,Google Play
Horrible. Not friendly. You can't even 'Show' your password. Navigation is difficult. They should look at the Chase app.,2,2025-11-30,Bank of Abyssinia,Google Play
very user friendly and helpful in achieving my banking needs,5,2025-11-30,Bank of Abyssinia,Google Play
"easy to make quick transfers, easily switch accounts",5,2025-11-30,Bank of Abyssinia,Google Play
Very easy-to-use.,5,2025-11-29,Bank of Abyssinia,Google Play
