review,rating,date,bank,source,sentiment_score,sentiment_label
"consistent , It has never gone down",5,2025-11-30,Bank of Abyssinia,Google Play,0.0,neutral
My experience has been great!,5,2025-11-30,Bank of Abyssinia,Google Play,0.6588,positive
Just learning something new to me,5,2025-11-30,Bank of Abyssinia,Google Play,0.0,neutral
it is wonderful im very happy,5,2025-11-30,Bank of Abyssinia,Google Play,0.8268,positive
Personal banker experience,5,2025-11-30,Bank of Abyssinia,Google Play,0.0,neutral
The app is so helpful and easy to use,5,2025-11-30,Bank of Abyssinia,Google Play,0.777,positive
Great Service,5,2025-11-30,Bank of Abyssinia,Google Play,0.6249,positive
Always good,5,2025-11-30,Bank of Abyssinia,Google Play,0.4404,positive
easy to operate,5,2025-11-30,Bank of Abyssinia,Google Play,0.4404,positive
great 👍🏻,5,2025-11-30,Bank of Abyssinia,Google Play,0.6249,positive
Great!!,5,2025-11-30,Bank of Abyssinia,Google Play,0.6892,positive
so far it's been good,4,2025-11-30,Bank of Abyssinia,Google Play,0.4404,positive
I had good help with getting my $$ back into my account. Your account folks helped me a lot. Michael Povlo Bank Customer in Las Vegas!,5,2025-11-30,Bank of Abyssinia,Google Play,0.7088,positive
app seems to work as expected lol,5,2025-11-30,Bank of Abyssinia,Google Play,0.4215,positive
love it. easy n fast,5,2025-11-30,Bank of Abyssinia,Google Play,0.7964,positive
amazing bank,5,2025-11-30,Bank of Abyssinia,Google Play,0.5859,positive
Never hardly issue with this app. Still a great app. 👍Still a user friendly app. No problems ... I just updated the app so don't know yet if there are problems. 11/2024. Marche 2025...still love this app. Nov 2025...convenience is great. No issues with the app.,5,2025-11-30,Bank of Abyssinia,Google Play,0.932,positive
awesome,5,2025-11-30,Bank of Abyssinia,Google Play,0.6249,positive
it's okay for me,4,2025-11-30,Bank of Abyssinia,Google Play,0.2263,positive
Easy to use.,5,2025-11-30,Bank of Abyssinia,Google Play,0.4404,positive
very friendly people,5,2025-11-30,Bank of Abyssinia,Google Play,0.5413,positive
